"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"1868","81","0.50","1.00","1","reward","1","html-keyboard-response","476","596325","0.0-3.0-0.152","delayed","trial"
"1518","81","0.45","5.00","20","reward","1","html-keyboard-response","479","599694","0.0-3.0-0.153","delayed","trial"
"804","81","-1.82","-20.00","20","loss","0","html-keyboard-response","482","602352","0.0-3.0-0.154","immediate","trial"
"1232","81","5.00","20.00","1","reward","1","html-keyboard-response","485","605429","0.0-3.0-0.155","delayed","trial"
"832","81","6.67","20.00","2","reward","1","html-keyboard-response","488","608120","0.0-3.0-0.156","delayed","trial"
"768","81","7.69","10.00","3","reward","1","html-keyboard-response","491","610754","0.0-3.0-0.157","delayed","trial"
"1729","80","0.99","1.00","1","reward","1","html-keyboard-response","494","614336","0.0-3.0-0.158","immediate","trial"
"1421","81","0.19","5.00","50","reward","1","html-keyboard-response","497","617597","0.0-3.0-0.159","delayed","trial"
"1892","80","0.39","20.00","50","reward","0","html-keyboard-response","500","621359","0.0-3.0-0.160","delayed","trial"
"983","80","-2.00","-5.00","3","loss","1","html-keyboard-response","503","624200","0.0-3.0-0.161","immediate","trial"
"1226","80","-0.08","-5.00","20","loss","1","html-keyboard-response","506","627272","0.0-3.0-0.162","immediate","trial"
"1567","81","1.82","20.00","10","reward","1","html-keyboard-response","509","630684","0.0-3.0-0.163","delayed","trial"
"854","81","-2.86","-20.00","2","loss","0","html-keyboard-response","512","633381","0.0-3.0-0.164","immediate","trial"
"1250","80","-12.50","-20.00","2","loss","1","html-keyboard-response","515","636498","0.0-3.0-0.165","immediate","trial"
"1427","81","0.33","20.00","20","reward","1","html-keyboard-response","518","639783","0.0-3.0-0.166","delayed","trial"
"1215","81","-4.55","-5.00","10","loss","1","html-keyboard-response","521","642860","0.0-3.0-0.167","delayed","trial"
"1665","80","-4.90","-5.00","2","loss","0","html-keyboard-response","524","646381","0.0-3.0-0.168","delayed","trial"
"2661","81","0.33","1.00","20","reward","0","html-keyboard-response","527","650888","0.0-3.0-0.169","immediate","trial"
"1956","80","0.77","1.00","1","reward","0","html-keyboard-response","530","654692","0.0-3.0-0.170","delayed","trial"
"848","81","-8.00","-20.00","5","loss","0","html-keyboard-response","533","657395","0.0-3.0-0.171","immediate","trial"
"1144","81","-13.33","-20.00","50","loss","1","html-keyboard-response","536","660401","0.0-3.0-0.172","delayed","trial"
"1371","80","0.20","10.00","50","reward","0","html-keyboard-response","539","663616","0.0-3.0-0.173","delayed","trial"
"1990","80","-0.17","-1.00","50","loss","0","html-keyboard-response","542","667465","0.0-3.0-0.174","delayed","trial"
"910","81","-8.00","-20.00","3","loss","0","html-keyboard-response","545","670227","0.0-3.0-0.175","immediate","trial"
"1171","81","-0.98","-1.00","2","loss","1","html-keyboard-response","548","673248","0.0-3.0-0.176","delayed","trial"
"1232","81","19.05","20.00","5","reward","1","html-keyboard-response","551","676338","0.0-3.0-0.177","delayed","trial"
"1303","81","1.67","10.00","5","reward","1","html-keyboard-response","554","679490","0.0-3.0-0.178","delayed","trial"
"952","80","-2.00","-5.00","5","loss","1","html-keyboard-response","557","682300","0.0-3.0-0.179","immediate","trial"
"550","81","-0.02","-1.00","20","loss","0","html-keyboard-response","560","684708","0.0-3.0-0.180","immediate","trial"
"1500","81","-0.83","-1.00","20","loss","1","html-keyboard-response","563","688065","0.0-3.0-0.181","delayed","trial"
"773","80","-2.50","-5.00","2","loss","1","html-keyboard-response","566","690699","0.0-3.0-0.182","immediate","trial"
"992","81","3.33","5.00","50","reward","1","html-keyboard-response","569","693538","0.0-3.0-0.183","delayed","trial"
"1201","81","10.53","20.00","3","reward","1","html-keyboard-response","572","696598","0.0-3.0-0.184","delayed","trial"
"2069","81","0.31","5.00","5","reward","1","html-keyboard-response","575","700525","0.0-3.0-0.185","delayed","trial"
"2940","81","0.02","1.00","20","reward","1","html-keyboard-response","578","705316","0.0-3.0-0.186","delayed","trial"
"2004","81","-0.77","-1.00","1","loss","0","html-keyboard-response","581","709160","0.0-3.0-0.187","immediate","trial"
"2736","80","-19.42","-20.00","3","loss","1","html-keyboard-response","584","713752","0.0-3.0-0.188","immediate","trial"
"1716","80","0.08","5.00","20","reward","0","html-keyboard-response","587","717312","0.0-3.0-0.189","delayed","trial"
"875","80","1.25","20.00","5","reward","0","html-keyboard-response","590","720029","0.0-3.0-0.190","delayed","trial"
"879","81","19.42","20.00","3","reward","0","html-keyboard-response","593","722765","0.0-3.0-0.191","immediate","trial"
"884","80","5.00","20.00","3","reward","0","html-keyboard-response","596","725501","0.0-3.0-0.192","delayed","trial"
"1294","81","-0.25","-1.00","3","loss","0","html-keyboard-response","599","728650","0.0-3.0-0.193","immediate","trial"
"998","81","-0.63","-1.00","2","loss","0","html-keyboard-response","602","731503","0.0-3.0-0.194","immediate","trial"
"1159","81","4.55","5.00","10","reward","1","html-keyboard-response","605","734514","0.0-3.0-0.195","delayed","trial"
